key,title,level,expected_duration,
ud109,Asynchronous JavaScript Requests,intermediate,3,
ud210,C++ For Programmers,intermediate,3,
ud1110,Introduction to Python,beginner,5,
ud954,Artificial Intelligence,intermediate,4,
ud404,Data Analysis and Visualization,intermediate,16,
ud610,Localization Essentials,beginner,2,
ud400,Human-Computer Interaction,intermediate,16,
ud333,Software Analysis & Testing,intermediate,16,
ud279,Cyber-Physical Systems Security,intermediate,16,
ud199,Network Security,intermediate,16,
ud169,Embedded Systems,intermediate,16,
ud168,Compilers: Theory and Practice,,0,
ud150,Database Systems Concepts & Design,intermediate,16,
ud456,GitHub & Collaboration,beginner,3,
ud356,ES6 - JavaScript Improved,advanced,4,
ud123,Version Control with Git,beginner,5,
ud353,Firebase Analytics: iOS,intermediate,1,
ud354,Firebase Analytics: Android,intermediate,2,
ud1028,Passwordless Login Solutions for iOS,intermediate,1,
ud357,Passwordless Login Solutions for Android,intermediate,1,
ud206,Shell Workshop,beginner,1,
ud303,HTTP & Web Servers,intermediate,1,
ud1015,VR Platforms & Applications,beginner,2,
ud1016,VR Design,,2,
ud1014,VR Software Development,beginner,1,
ud1031,Server-Side Swift,intermediate,4,
ud843,Android Basics: Networking,beginner,5,
ud1000,Deploying a Hadoop Cluster,intermediate,3,
ud1030,Continuous Integration and Deployment,intermediate,2,
ud1027,Building iOS Interfaces,intermediate,2,
ud1029,iOS Design Patterns,,2,
ud1012,Introduction to Virtual Reality,beginner,2,
ud1013,VR Scenes and Objects,beginner,2,
ud1022,Swift for Beginners,beginner,7,
ud1025,Swift for Developers,intermediate,7,
ud1026,AutoLayout,intermediate,6,
ud615,Scalable Microservices with Kubernetes,intermediate,1,
ud811,Intro to Progressive Web Apps,intermediate,2,
ud891,Web Accessibility,advanced,6,
ud864,Google Maps APIs,intermediate,2,
ud513,Technical Interview,intermediate,4,
ud834,Android for Beginners,beginner,2,
ud836,Android Basics: User Input,beginner,4,
ud839,Android Basics: Multiscreen Apps,beginner,2,
ud843,Android Basics: Networking,beginner,5,
ud845,Android Basics: Data Storage,beginner,8,
ud976,Problem Solving with Advanced Analytics,beginner,2,
ud977,Creating an Analytical Dataset,beginner,2,
ud978,Classification Models,intermediate,2,
ud803,Intro to JavaScript,beginner,0,
ud851,New Android Fundamentals,intermediate,10,
ud853,Developing Android Apps,intermediate,10,
ud855,Advanced Android App Development,advanced,6,
ud867,Gradle for Android and Java,advanced,6,
ud876-1,Google Location Services on Android,intermediate,2,
ud876-2,Google Analytics for Android,intermediate,2,
ud876-3,Monetize Your Android App with Ads,intermediate,2,
ud876-4,Add Google Maps to your Android App,intermediate,2,
ud825,Android Performance,advanced,4,
ud862,Material Design for Android Developers,intermediate,4,
ud875A,Android Wear Development,advanced,2,
ud875B,Android TV and Google Cast Development,advanced,1,
ud875C,Android Auto Development,advanced,1,
ud009,Firebase Essentials For Android,advanced,8,
ud806,Get Your Startup Started,intermediate,3,
ud509,Product Design,intermediate,2,
ud518,App Monetization,intermediate,1,
ud723,Rapid Prototyping,intermediate,3,
ud719,App Marketing,intermediate,2,
ud405,2D Game Development with libGDX,intermediate,8,
ud406,How to Make a Platformer Using libGDX,intermediate,8,
ud407,Engagement & Monetization | Mobile Games,beginner,3,
ud897,Client-Server Communication,advanced,5,
ud894,Front End Frameworks,advanced,8,
ud899,Offline Web Applications,intermediate,3,
ud898,JavaScript Promises,advanced,3,
ud890,Building High Conversion Web Forms,intermediate,2,
ud892,Web Tooling & Automation,intermediate,3,
ud388,Designing RESTful APIs,intermediate,3,
ud777,Writing READMEs,beginner,3,
ud611,Intro to DevOps,advanced,3,
ud304,Intro to HTML and CSS,beginner,3,
cs101,Intro to Computer Science,beginner,3,
ud282,Java Programming Basics,beginner,6,
ud256,Networking for Web Developers,beginner,2,
ud804,JavaScript Basics,beginner,3,
ud595,Linux Command Line Basics,beginner,1,
ud775,How to Use Git and GitHub,beginner,3,
ud036,Programming Foundations with Python,beginner,6,
ud585,Intro to iOS App Development with Swift,intermediate,1,
ud197,Intro to Relational Databases,intermediate,4,
ud088,Full Stack Foundations,intermediate,3,
ud330,Authentication & Authorization: OAuth,intermediate,2,
ud893,Responsive Web Design Fundamentals,intermediate,2,
ud882,Responsive Images,intermediate,2,
ud860,Browser Rendering Optimization,advanced,1,
ud858,Developing Scalable Apps in Python,advanced,6,
ud989,JavaScript Design Patterns,advanced,6,
ud990,Learn Backbone.js,advanced,2,
ud549,JavaScript Testing,intermediate,2,
ud299,Configuring Linux Web Servers,advanced,1,
ep245,How to Build a Startup,intermediate,1,
ud902,Learn Swift Programming Syntax,intermediate,3,
ud788,UIKit Fundamentals,intermediate,2,
ud421,iOS Networking with Swift,advanced,3,
ud576,Grand Central Dispatch (GCD),,2,
ud325,iOS Persistence and Core Data,advanced,2,
ud1009,Objective-C for Swift Developers,intermediate,5,
ud774,Xcode Debugging,advanced,3,
ud607,How to Make an iOS App,advanced,3,
ud257,A/B Testing,intermediate,1,
ud257-certified,A/B Testing (Certified Course),intermediate,1,
ud507,Data Visualization and D3.js,intermediate,7,
ud120,Intro to Machine Learning,intermediate,10,
ud617,Intro to Hadoop and MapReduce,intermediate,1,
ud381,Real-Time Analytics with Apache Storm,intermediate,2,
ud170,Intro to Data Analysis,beginner,6,
ud359,Intro to Data Science,intermediate,2,
cs253,Web Development,intermediate,3,
ud891,Web Accessibility,advanced,6,
ud015,Object-Oriented JavaScript,intermediate,5,
ud292,HTML5 Canvas,beginner,2,
ud245,Intro to jQuery,intermediate,2,
ud110,Intro to AJAX,intermediate,2,
cs271,Intro to Artificial Intelligence,intermediate,4,
ud651,Data Analysis with R,intermediate,2,
ud849,UX Design for Mobile Developers,beginner,6,
ud162,Intro to Point & Click App Development,beginner,1,
ud859,Developing Scalable Apps in Java,advanced,2,
cs344,Intro to Parallel Programming,advanced,3,
ud827,Intro to Descriptive Statistics,beginner,2,
ud201,Intro to Inferential Statistics,beginner,2,
ud923,Introduction to Operating Systems,intermediate,2,
ud459,Intro to Information Security,intermediate,0,
ud189,Advanced Operating Systems,advanced,5,
ud061,Computability, Complexity & Algorithms,advanced,0
ud409,Knowledge-Based AI: Cognitive Systems,advanced,7,
ud501,Machine Learning for Trading,intermediate,4,
ud007,High Performance Computer Architecture,advanced,0,
ud281,High Performance Computing,advanced,6,
ud809,Health Informatics in the Cloud,beginner,5,
ud758,Big Data Analytics in Healthcare,,0,
ud436,Computer Networking,intermediate,3,
ud955,Computational Photography,intermediate,4,
ud805,Software Development Process,intermediate,3,
ud821,Software Architecture & Design,intermediate,2,
cs373,Artificial Intelligence for Robotics,advanced,2,
ud810,Introduction to Computer Vision,intermediate,4,
ud915,Educational Technology,beginner,16,
ud600,Reinforcement Learning,advanced,4,
ud953,Linear Algebra Refresher Course,intermediate,0,
ud032,Data Wrangling with MongoDB,intermediate,2,
ud919,Model Building and Validation,advanced,8,
ud730,Deep Learning,advanced,3,
design101,Intro to the Design of Everyday Things,beginner,2,
cs256,Mobile Web Development,intermediate,6,
ud884,Website Performance Optimization,intermediate,1,
ud248,Make Your Own 2048,beginner,1,
cs255,HTML5 Game Development,intermediate,2,
cs387,Applied Cryptography,advanced,2,
st101,Intro to Statistics,beginner,2,
ma004,Intro Algebra Review,beginner,2,
ma008,College Algebra,beginner,4,
ma006,Visualizing Algebra,beginner,4,
cs258,Software Testing,intermediate,1,
cs215,Intro to Algorithms,intermediate,4,
cs291,Interactive 3D Graphics,intermediate,2,
cs262,Programming Languages,intermediate,2,
cs212,Design of Computer Programs,advanced,2,
cs222,Differential Equations in Action,intermediate,2,
cs259,Software Debugging,intermediate,2,
cs313,Intro to Theoretical Computer Science,intermediate,2,
ud262,Machine Learning,intermediate,4,
ph100,Intro to Physics,beginner,2,
bio110,Tales from the Genome,beginner,3,
ps001,Intro to Psychology,beginner,4,
gt101,OMSCS Student Orientation,beginner,0,
ud098,GT - Refresher - Advanced OS,intermediate,3,
ud1009,Objective-C for Swift Developers,intermediate,5,
ud268,Dynamic Web Applications with Sinatra,intermediate,2,
ud270,The MVC Pattern in Ruby,intermediate,1,
ud272,Deploying Applications with Heroku,intermediate,1,
ud980,Time Series Forecasting,intermediate,3,
ud979,A/B Testing,intermediate,3,
ud981,Segmentation and Clustering,intermediate,3,
ud1006,Data Visualization in Tableau,beginner,3,
ud835,Introduction to Health Informatics,,0,
ud834,Android for Beginners,beginner,2,
ud836,Android Basics: User Input,beginner,4,
ud0352,Firebase in a Weekend by Google: Android,,2,
ud0351,Firebase in a Weekend by Google: iOS,intermediate,2,
ud000,Intro to Programming,beginner,8,
st095,Statistics,beginner,4,
ud853ar,Developing Android Apps,intermediate,10,
ud853-dub-ar,Developing Android Apps,intermediate,10,
